name,pop2000,pop2010,pop2015,pop2020,house,hnhs
Abuno,4042,4703,5423,5841,1029,2
Bonbonon,1503,1489,1786,2381,295,0
Bunawan,1937,2182,2218,2025,438,0
Buru-un,11131,12991,15164,16835,2773,0
Ditucalan,3021,3337,3385,4039,707,0
Dalipuga,13012,18191,19721,21470,4046,2
Digkilaan,3937,4238,5208,5764,869,0
Hinaplanon,12789,14340,12346,15424,3192,108
Kabacsanan,1892,1947,2123,2362,392,0
Kiwalan,5981,5955,7464,7710,1274,0
Mahayahay,9686,8998,9179,7965,1868,0
Mainit,2687,2480,2588,2700,478,0
Mandulog,3563,3103,3867,4283,616,0
Maria Cristina,9624,10751,11383,11811,2328,0
Pala-o,8932,9544,9600,10778,1971,0
Poblacion,5184,3924,3470,3613,962,1
Puga-An,6196,7398,7460,7555,1508,0
Santa Elena,4604,5119,9735,10771,1033,0
Suarez,16044,17544,16657,18649,3564,0
Tambacan,11629,16701,17616,19261,3478,0
Saray,12507,10225,10171,9386,2288,0
Tipanoy,8743,12904,14730,15287,2702,0
Tominobo Proper,8766,9005,8780,9676,1853,0
Tominobo Upper,1545,1625,3429,3702,353,0
Tubod,27778,32283,31913,33243,6618,0
Bagong Silang,6205,6152,6978,6104,1302,10
Del Carmen,7382,8305,8423,9662,1763,6
Dulag,963,1069,1216,1216,214,0
Rogongon,5052,4870,5786,7592,991,0
San Miguel,4455,4117,4955,3801,862,4
Santiago,6945,9211,8814,9212,2019,0
Santo Rosario,2301,2155,2174,1839,498,4
Tibanga,8320,9042,9595,8089,1799,0
Acmac,5042,5784,6471,6856,1209,0
Santa Filomena,6406,7387,6615,7005,1597,0
Hindang,2199,1125,913,953,258,0
Kalilangan,751,1159,1442,1718,246,0
Luinab,5058,8114,8603,11108,1724,108
San Roque,2861,3860,4740,5292,876,7
Ubaldo Laya,7823,10961,11950,13626,2319,0
Upper Hinaplanon,5306,6531,5464,6551,1320,90
Villa Verde,6978,5619,5498,5514,1197,2
Lanipao,1513,2348,2759,2891,479,0
,6564.953488,7413.627907,7856.093023,8408.372093,,
