name,pop,male,female,y1,y2,y3,y4,roman,islam,protestant,bornagain,baptist,iglesia,sda,challiance,mormon,evang,jehova,ifi,mich,medi,mary,therese,horizon,ici,peter,paul,sti,mission,lala,mindanao,msu,salle,initao,academy,high school,laurence,university,iligan,mba,bsba,bsed,hm,maed,accountancy,nursing,bscs,bsce,hrm,civil,bsee,psych,abeng,special,bechildhood,abpol,bstm
Abuno,27,8,19,6,11,5,5,24,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,3,2,1,0,7,0,0,1,2,0,0,0,4,0,1,7,0,6,0,3,3,1,3,0,0,0,2,0,2,1,0,0,0,0
Bonbonon,5,1,4,1,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bunawan,3,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Buru-un,93,45,48,30,33,14,16,80,3,0,4,2,3,1,0,0,0,0,0,6,2,1,1,0,6,5,0,7,0,0,2,3,4,0,27,3,0,3,27,3,22,8,11,1,0,8,1,0,1,2,0,1,0,0,0,0,0
Ditucalan,17,7,10,7,5,2,3,16,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,2,1,0,5,2,0,0,3,1,5,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,2
Dalipuga,88,46,42,31,25,18,13,71,2,1,6,3,2,2,0,1,0,0,0,7,3,0,0,0,7,1,0,12,0,0,3,4,3,1,3,32,0,4,36,0,18,3,13,3,2,13,1,2,0,2,0,8,1,1,0,0,0
Digkilaan,7,3,4,2,5,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,3
Hinaplanon,112,50,62,43,32,18,19,84,17,0,8,2,0,1,0,0,0,0,0,16,6,1,0,0,8,0,0,17,1,0,6,6,5,1,6,30,1,9,45,2,31,2,22,7,2,8,1,1,0,1,0,3,2,0,1,0,0
Kabacsanan,7,4,3,0,3,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Kiwalan,40,14,26,12,12,10,6,37,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,6,1,1,10,0,0,2,2,0,0,0,17,0,2,19,1,14,2,5,0,0,4,0,0,0,1,0,1,0,0,0,1,1
Mahayahay,83,29,54,33,26,15,9,29,46,0,2,0,0,4,1,1,0,0,0,9,6,1,2,2,10,3,0,11,0,0,2,4,2,0,6,17,0,2,39,2,13,4,4,4,4,21,0,4,0,6,0,4,0,0,0,0,0
Mainit,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandulog,5,0,5,3,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
Maria Cristina,94,40,54,37,19,21,16,75,6,0,7,1,3,1,0,1,0,0,0,15,5,0,1,0,1,0,0,21,0,0,5,2,1,0,7,21,0,9,22,3,20,3,15,4,2,7,1,1,1,5,0,3,0,1,0,1,1
Pala-o,102,43,59,48,22,16,14,65,16,4,7,5,2,2,1,0,0,0,0,13,11,0,0,0,7,4,0,15,0,0,3,6,16,0,16,14,1,9,34,0,19,2,20,3,2,14,2,0,0,7,1,10,3,0,0,1,8
Poblacion,196,79,117,78,49,44,24,134,40,3,11,3,1,0,1,0,0,0,3,16,10,0,1,2,4,1,2,15,5,0,14,11,9,3,38,46,0,16,34,3,31,5,27,20,8,31,1,2,0,7,0,12,2,1,2,4,0
Puga-An,106,51,55,41,26,21,17,84,2,1,7,4,3,3,1,1,0,0,0,12,3,0,0,0,10,1,0,18,0,0,3,4,3,1,3,35,0,5,44,1,23,5,14,3,2,15,1,2,0,2,0,8,2,1,0,0,0
Santa Elena,39,18,21,8,17,5,8,18,20,0,1,0,0,0,0,0,0,0,0,3,4,0,1,0,1,0,0,2,0,0,2,5,4,0,5,6,0,3,9,2,5,3,5,1,1,8,0,0,0,1,1,0,1,0,0,0,1
Suarez,108,44,63,38,20,25,25,86,2,5,9,1,3,0,0,2,0,0,0,17,3,0,0,0,14,2,0,25,0,0,4,5,8,0,9,20,0,7,43,0,22,8,20,6,2,10,1,1,0,2,0,6,3,0,0,0,0
Tambacan,128,47,81,55,37,22,14,74,41,0,4,1,4,1,0,3,0,0,0,13,9,0,3,0,27,3,1,43,0,0,4,2,2,0,6,18,0,4,70,0,37,6,12,7,4,17,0,2,1,3,0,5,0,0,1,1,2
Saray,29,11,18,13,9,3,4,21,3,0,3,0,2,0,0,0,0,0,0,3,2,0,0,0,4,2,0,4,0,0,1,1,1,0,1,6,0,2,13,0,8,1,5,2,1,4,1,0,0,0,0,0,0,0,0,0,2
